Segmento,SubSegmento,Associada,Grupo,Marca,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Automóveis,Todos,Empresas associadas à Anfavea,Audi,Audi,406,830,376,126,256,669,595,661,785,858,686,0
Automóveis,Todos,Empresas associadas à Anfavea,BMW,BMW,790,920,794,293,536,1269,1381,1262,1361,1150,1202,0
Automóveis,Todos,Empresas associadas à Anfavea,BMW,Mini,108,107,106,30,41,134,130,108,107,113,152,0
Automóveis,Todos,Empresas associadas à Anfavea,Caoa - Hyundai,Caoa Chery,1684,1923,1927,422,396,1036,1456,1632,2184,1997,2254,0
Automóveis,Todos,Empresas associadas à Anfavea,Caoa - Hyundai,Hyundai,525,497,500,102,142,401,699,400,498,300,355,0
Automóveis,Todos,Empresas associadas à Anfavea,Caoa - Hyundai,Subaru,33,24,63,0,1,33,35,37,51,0,50,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Chrysler,1,1,1,1,1,3,2,4,0,1,1,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Dodge,15,10,11,5,4,12,22,14,7,0,6,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Fiat,13783,15061,13565,3644,4336,8580,12199,15409,19251,19269,20464,0
Automóveis,Todos,Empresas associadas à Anfavea,FCA,Jeep,8666,10086,7576,2262,2577,7370,9569,10465,11817,12218,12708,0
Automóveis,Todos,Empresas associadas à Anfavea,Ford,Ford,12793,13759,12840,3369,3021,6029,8687,8954,10773,12615,12587,0
Automóveis,Todos,Empresas associadas à Anfavea,General Motors,General Motors,32408,32109,23123,8386,8237,17296,25489,25874,28314,30275,35129,0
Automóveis,Todos,Empresas associadas à Anfavea,Honda Automóveis,Honda Automóveis,8412,8722,6944,1500,2433,6298,5807,7321,8696,9419,8931,0
Automóveis,Todos,Empresas associadas à Anfavea,HPE,Mitsubishi,669,594,574,172,267,552,708,763,926,922,872,0
Automóveis,Todos,Empresas associadas à Anfavea,HPE,Suzuki,249,257,181,83,102,174,278,270,280,288,227,0
Automóveis,Todos,Empresas associadas à Anfavea,Hyundai Motor,Hyundai Motor,12360,15520,12303,4154,4165,10666,13900,15182,15812,16587,17388,0
Automóveis,Todos,Empresas associadas à Anfavea,Jaguar Land Rover,Jaguar,108,135,124,27,16,94,118,113,128,81,44,0
Automóveis,Todos,Empresas associadas à Anfavea,Jaguar Land Rover,Land Rover,505,554,450,140,171,579,634,482,328,262,243,0
Automóveis,Todos,Empresas associadas à Anfavea,Mercedes-Benz Cars & Vans,Mercedes-Benz Cars & Vans,653,710,619,184,227,739,745,601,569,541,563,0
Automóveis,Todos,Empresas associadas à Anfavea,Nissan,Nissan,6356,7590,5578,1229,1263,3227,3469,4214,5163,4890,4782,0
Automóveis,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Peugeot,974,878,652,136,222,616,850,839,1030,983,1449,0
Automóveis,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Citroën,1491,1712,972,328,426,1060,1185,998,852,862,1036,0
Automóveis,Todos,Empresas associadas à Anfavea,Renault,Renault,13630,13274,10808,3831,4222,9245,10399,6456,10859,11825,11639,0
Automóveis,Todos,Empresas associadas à Anfavea,Toyota,Toyota,11804,11641,8856,3029,3200,5954,7766,8861,9780,10501,11762,0
Automóveis,Todos,Empresas associadas à Anfavea,Toyota,Lexus,86,110,59,13,28,56,48,109,67,46,42,0
Automóveis,Todos,Empresas associadas à Anfavea,Volkswagen,Volkswagen,24639,26511,21143,5607,7290,19027,27405,29625,29776,30611,31022,0
Automóveis,Todos,Outras empresas,Outra,Outra,1433,1615,1131,428,557,1285,1380,1403,1700,1894,1983,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Caoa (Hyundai),Caoa (Hyundai),396,429,379,159,216,368,492,443,416,167,293,0
Comerciais leves,Todos,Empresas associadas à Anfavea,FCA,Dodge,0,2,0,0,0,0,0,1,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,FCA,Fiat,12115,11482,10136,3874,4437,8066,12601,15951,19839,19049,18981,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Ford,Ford,1642,1323,1560,1072,1400,1737,1733,1282,1686,1702,2323,0
Comerciais leves,Todos,Empresas associadas à Anfavea,General Motors,General Motors,2675,2039,2378,1622,1732,2463,2562,2917,3469,3801,4093,0
Comerciais leves,Todos,Empresas associadas à Anfavea,HPE (Mitsubishi),HPE (Mitsubishi),622,650,713,432,601,606,1246,927,1087,1009,901,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Iveco,Iveco,245,288,255,43,54,299,393,452,458,326,286,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Jaguar Land Rover ( Land Rover),Jaguar Land Rover ( Land Rover),0,0,0,0,1,0,0,0,0,0,0,0
Comerciais leves,Todos,Empresas associadas à Anfavea,MAN,MAN,231,289,244,59,77,395,438,353,310,338,334,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Mercedes-Benz Cars & Vans,Mercedes-Benz Cars & Vans,978,898,660,213,264,480,771,626,708,762,606,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Nissan,Nissan,673,765,580,501,349,708,612,561,693,945,735,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Peugeot,318,373,232,90,93,184,294,266,255,242,406,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Peugeot Citroën,Citroën,213,205,170,41,110,116,109,145,163,181,148,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Renault,Renault,1800,1171,705,405,290,561,873,573,1119,1489,1174,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Toyota,Toyota,3311,3127,2971,1762,1445,1714,2329,2691,3579,3122,3050,0
Comerciais leves,Todos,Empresas associadas à Anfavea,Volkswagen,Volkswagen,4608,4826,3812,1605,1402,2456,3637,4143,3890,3677,3322,0
Comerciais leves,Todos,Outras empresas,Outra,Outra,274,282,233,84,97,238,378,434,379,381,257,0
Caminhões,Semileves,Empresas associadas à Anfavea,Agrale,Agrale,0,0,0,0,0,0,0,0,0,0,0,0
Caminhões,Semileves,Empresas associadas à Anfavea,FCA (Dodge),FCA (Dodge),284,86,15,64,124,230,105,40,22,29,194,0
Caminhões,Semileves,Empresas associadas à Anfavea,Ford,Ford,13,3,3,1,1,2,2,1,0,0,1,0
Caminhões,Semileves,Empresas associadas à Anfavea,Iveco,Iveco,17,15,9,13,16,32,27,34,44,56,66,0
Caminhões,Semileves,Empresas associadas à Anfavea,MAN,MAN,39,44,30,36,24,60,41,55,76,47,50,0
Caminhões,Semileves,Empresas associadas à Anfavea,Mercedes-Benz Cars & Vans,Mercedes-Benz Cars & Vans,162,142,120,74,92,184,291,251,218,169,208,0
Caminhões,Semileves,Empresas associadas à Anfavea,Peugeot Citroën,Peugeot,10,10,7,4,6,3,21,48,19,25,3,0
Caminhões,Semileves,Empresas associadas à Anfavea,Peugeot Citroën,Citroën,17,5,6,10,2,12,6,13,5,7,5,0
Caminhões,Semileves,Outras empresas,Outra,Outra,2,4,0,0,1,2,2,1,2,1,0,0
Caminhões,Leves,Empresas associadas à Anfavea,Agrale,Agrale,2,0,1,0,0,0,0,0,1,3,2,0
Caminhões,Leves,Empresas associadas à Anfavea,Caoa - Hyundai,Caoa - Hyundai,8,11,9,5,19,14,11,34,37,23,25,0
Caminhões,Leves,Empresas associadas à Anfavea,Ford,Ford,39,34,22,11,16,8,8,10,7,6,3,0
Caminhões,Leves,Empresas associadas à Anfavea,Iveco,Iveco,50,37,50,58,39,59,73,76,76,84,85,0
Caminhões,Leves,Empresas associadas à Anfavea,MAN,MAN,256,280,249,120,157,293,283,327,368,387,340,0
